,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,energy_100g,reconstructed_energy,g_sum,exceeded,product
1,28.57,64.29,14.29,3.57,0,2243,2267.85,96.43,0,Banana Chips Sweetened (Whole)
2,17.86,60.71,17.86,17.86,0.635,1941,2032.23,96.43,0,Peanuts
3,57.14,17.86,3.57,17.86,1.22428,2540,2835.7,92.86,0,Organic Salted Nut Mix
7,18.75,57.81,15.62,14.06,0.1397,1833,1953.04,90.62,0,Organic Muesli
12,36.67,36.67,3.33,16.67,1.60782,2230,2336.91,90.01,0,Zen Party Mix
15,18.18,60,21.82,14.55,0.02286,1824,1976.37,92.73,0,Cinnamon Nut Granola
16,60.71,17.86,3.57,14.29,0.01016,2632,2914.24,92.86,0,Organic Hazelnuts
19,5.95,66.67,2.38,16.67,0.0254,1096,1648.83,89.29,0,Organic Oat Groats
20,17.5,42.5,32.5,7.5,0.28448,1464,1532.5,67.5,0,Energy Power Mix
21,33.33,46.67,30,13.33,0.46482,2092,2319.87,93.33,0,Antioxidant Mix - Berries & Chocolate
22,10.91,69.09,27.27,10.91,0.02286,1674,1785.49,90.91,0,Organic Quinoa Coconut Granola With Mango
23,50,23.33,6.67,6.67,1.27,2372,2460,80,0,Fire Roasted Hatch Green Chile Almonds
24,20,60,33.33,8.89,0.19812,1954,1951.13,88.89,0,Peanut Butter Power Chews
26,22.22,57.41,5.56,12.96,0.28194,1548,2062.87,92.59,0,Organic Unswt Berry Coconut Granola
27,46.67,30,6.67,16.67,1.016,2372,2613.52,93.34,0,Roasted Salted Black Pepper Cashews
28,43.33,30,6.67,16.67,1.35382,2372,2483.26,90,0,Thai Curry Roasted Cashews
29,46.67,23.33,3.33,20,2.032,2230,2556.74,90,0,Wasabi Tamari Almonds
31,6.67,64.44,11.11,13.33,0.01016,1490,1582.22,84.44,0,Organic Red Quinoa
32,35,52.5,37.5,5,0.127,2092,2342.5,92.5,0,Dark Chocolate Coconut Chews
34,21.57,58.82,3.92,11.76,0.27432,1887,2041.09,92.15,0,"Organic Unsweetened Granola, Cinnamon Almond"
35,9.09,70.91,29.09,10.91,0.04572,1674,1745.45,90.91,0,Organic Blueberry Almond Granola
38,65,24,7,6,0.09398,2761,3045,95,0,Organic Coconut Chips
42,17.86,64.29,21.43,10.71,0.04572,1941,1971.54,92.86,0,Aunt Ginger's Snappy Granola
43,35,50,37.5,7.5,1.651,2197,2342.5,92.5,0,Dark Chocolate Sea Salt & Turbinado Almonds
52,5.32,53.19,8.51,17.02,0.05334,1335,1401.05,75.53,0,Organic Garbanzo Beans
57,1.11,68.89,8.89,28.89,0.05588,1582,1705.55,98.89,0,Organic Yellow Split Peas
61,25.45,58.18,9.09,10.91,0.254,2054,2167.08,94.54,0,Coconut Almond Granola
62,18.18,63.64,10.91,10.91,0.254,1904,1976.37,92.73,0,Super Nutty Granola
63,14.55,67.27,12.73,10.91,0.254,1904,1896.51,92.73,0,Maple Almond Granola
64,4.55,70.91,23.64,10.91,0.18542,1523,1568.39,86.37,0,35% Fruit And Fiber Muesli
67,9.23,60,1.54,13.85,1.13284,1611,1615.42,83.08,0,Tricolor Tortellini
72,1.72,60.34,5.17,13.79,2.75844,1297,1327.29,75.85,0,10-Grain Pancake Mix
79,10.91,74.55,25.45,9.09,0.254,1824,1847.37,94.55,0,Granola Cranberry And Acai
82,42.86,25,14.29,25,0.54356,2389,2521.54,92.86,0,"Peanuts, Mixed Nuts"
87,50,17.86,3.57,28.57,1.13284,2389,2739.31,96.43,0,"Foods, Spanish Peanuts"
88,46.43,28.57,3.57,21.43,1.08966,2389,2660.77,96.43,0,"Foods, Honey Roasted Nut Mix"
89,57.14,21.43,3.57,21.43,1.08966,2766,2957.08,100,0,Roasted Salted Sunflower Seeds
90,57.14,21.43,3.57,17.86,0.58928,2540,2896.39,96.43,0,"Foods, Deluxe Nut Mix"
91,28,60,32,12,0.2032,2176,2316,100,0,"Foods, Honey Roast Nuts & Fruit Mix"
94,26.67,46.67,33.33,13.33,0.127,1812,2060.13,86.67,0,Organic Trail Mix
97,46.67,13.33,3.33,30,0.04318,2510,2556.74,90,0,Organic Raw Pumpkin Seeds
104,1.92,51.92,5.77,25,2.29616,1289,1382.52,78.84,0,Curry Lentil Soup Mix
105,1.43,57.14,8.57,22.86,1.81356,1314,1415.77,81.43,0,Split Pea Soup Mix
106,6.67,56.67,26.67,10,0.71882,1255,1393.52,73.34,0,Whole Wheat 'N Honey Fig Bars
107,26.67,53.33,36.67,10,0.21082,1954,2116.74,90,0,Chocolate Nut Crunch
109,27.5,60,57.5,7.5,0.09652,2197,2220,95,0,Milk Chocolate Peanut Butter Malt Balls
110,41.18,17.65,2.94,26.47,0.97028,2092,2356.06,85.3,0,Organic Tamari Pumpkin Seed
111,20,72.5,47.5,5,1.143,2092,2097.5,97.5,0,Yogurt Pretzels
120,16.36,60,16.36,12.73,0.02286,1749,1874.45,89.09,0,Swiss-Style Muesli
144,2.22,71.11,2.22,15.56,0.02794,1674,1559.97,88.89,0,Organic Harvest Pilaf
148,0,83.33,66.67,0,0,1255,1416.61,83.33,0,Cranberries
149,0,62.5,52.5,2.5,0,1046,1105,65,0,Turkish Apricots
150,28.57,64.29,14.29,3.57,0,2243,2267.85,96.43,0,Banana Chips Sweetened
151,14.55,60,21.82,9.09,0.1143,1674,1741.98,83.64,0,Granola Honey Almonds
152,2.5,87.5,65,2.5,1.9685,1569,1627.5,92.5,0,Chili Mango
153,22.5,70,42.5,5,1.016,1883,2152.5,97.5,0,Milk Chocolate Pretzels
154,17.86,60.71,17.86,17.86,0.635,1941,2032.23,96.43,0,Peanuts
157,46.43,32.14,10.71,21.43,1.45034,2540,2721.46,100,0,Organic Salted Pistachios
160,0.1,70.4,65.7,2.2,0.0127,1218,1238.1,72.7,0,Organic Medjool Dates
173,47.06,32.35,5.88,14.71,0.0381,2402,2635.36,94.12,0,Organic Whole Cashews
175,0,8.97,6.41,1.28,0.19558,159,174.25,10.25,0,Fresh Organic Carrots
176,12,23,0,22,2.16,1210,1233,57,0,Salade Cesar
177,14.4,54.1,28.1,4.79,0.922,1520,1562.73,73.29,0,Danoises à la cannelle roulées
182,10.7,38.7,24.7,3.33,0.647,1090,1131.81,52.73,0,Chaussons tressés aux pommes
183,1.11,53.3,1.11,10,1.52,1160,1119.39,64.41,0,Pain Burger Artisan
185,0,14.2,13.6,0,0.0616,215,241.4,14.2,0,Root Beer
187,6.79,7.86,0.714,5.36,0.499,478,489.55,20.01,0,Quiche Lorraine
189,0,93.3,93.3,0,0,1667,1586.1,93.3,0,"Gotta-have grape, seriously strawberry flavor"
190,0.1,0.1,0.1,0.1,0.001,17,7.3,0.3,0,Thé noir aromatisé violette et fleurs
193,7,70,42,7,0.975,1632,1582,84,0,Preparation mug cake chocolat-caramel au beurre salé
200,16.88,44.16,5.19,7.79,1.08966,1523,1541.47,68.83,0,Butter Croissants
201,15.74,47.22,25.93,6.48,0.72898,1548,1526.76,69.44,0,Wild Blueberry Muffins
202,4.26,51.06,2.13,9.57,1.27,1159,1196.85,64.89,0,Bolillos
203,20,33.33,2.67,8,1.4224,1452,1482.61,61.33,0,Biscuit
204,16,38.67,9.33,5.33,1.15062,1339,1372,60,0,Biscuit
205,17.7,61.95,37.17,3.54,0.56134,1778,1803.63,83.19,0,Oatmeal Raisin Cookie
206,1.18,71.76,4.71,12.94,1.19634,1527,1485.92,85.88,0,Sliced Plain Bagel
207,25.88,52.94,30.59,3.53,0.4191,1920,1969.31,82.35,0,Scone
208,22.35,67.06,28.24,8.24,1.70434,2067,2151.75,97.65,0,Belgian Vanilla Waffle
209,21.43,60.71,35.71,3.57,0.68072,1866,1928.53,85.71,0,Seasonal Cookie Platter
210,21.76,51.76,32.94,5.88,0.6731,1749,1828.52,79.4,0,Muffin
211,15.88,45.88,25.88,6.47,0.762,1477,1509.27,68.23,0,Muffin
212,0,42.86,0,7.14,1.36144,941,850,50,0,Freshly Baked Italian Loaf
213,13.82,39.02,23.58,1.63,0.47498,1155,1230.03,54.47,0,Freshly Baked Apple Pie
214,21.43,60.71,32.14,3.57,0.99822,1866,1928.53,85.71,0,Snickerdoodle Cookies
215,22.35,45.88,18.82,4.71,0.77724,1674,1731.68,72.94,0,Freshly Baked In Store Cherry Turnover
216,22.35,42.35,15.29,4.71,0.80772,1623,1671.67,69.41,0,Apple Turnover
217,18.52,52.78,32.41,6.48,0.8001,1665,1729.7,77.78,0,Pineapple Coconut Muffins
218,21.43,48.21,21.43,1.79,0.40894,1569,1685.77,71.43,0,Assorted Strudel Bite
219,23.33,45,11.67,8.33,1.05918,1812,1816.48,76.66,0,Freshly Baked Chocolat Croissant
220,18.64,50.85,22.03,6.78,0.81788,1632,1706.67,76.27,0,Cornbread
221,3.51,52.63,0,8.77,1.78308,1176,1180.69,64.91,0,La Brea Bakery Ciabatta Loaf Freshly Baked In Store
223,33.3,53.8,51.5,4.7,0.09,2257,2293.2,91.8,0,Belgische Pralinen
224,22.35,68.24,29.41,8.24,1.70434,2117,2171.81,98.83,0,Belgian Choc Chip Waffle
225,39.29,80.36,46.43,5.36,0.635,2912,2989.55,125.01,1,Chocolate Scone
227,7,54.2,44,3.9,0.2,1284,1260.7,65.1,0,Luxury Christmas Pudding
228,7,54.2,44,3.9,0.199898,1284,1260.7,65.1,0,Luxury Christmas Pudding
231,0,10.4,10.4,0,0.0254,177,176.8,10.4,0,"Pepsi, Nouveau goût !"
232,23.8,18.5,17,1.3,1.7,1215,1264.8,43.6,0,
233,0,0,0,0,2.38252,0,0,0,0,Naturally Flavored Beverage Enhancer With Other Natural Flavors
238,0.1,10.7,10.7,0,0,180,185.8,10.8,0,Blle Pet 50CL Coca Cola Cherry
240,6.6,17,3.7,8.2,0.73,678,685.8,31.8,0,Crêpes jambon fromage
244,0.9,2.9,2.5,3.6,0,144,145.6,7.4,0,Cauliflower
248,1,24,1,39,9.8,1046,1110,64,0,Marmite Original Pate A Tartiner 125G
249,0,10.4,10.4,0,0.1,177,176.8,10.4,0,7Up
251,23,55,26,6,0.66,1900,1934,84,0,Madeleines nature
265,71.43,0,0,0,1.81356,2690,2785.77,71.43,0,Original Buttery Spread
266,57.14,0,0,0,1.36144,2389,2228.46,57.14,0,"Buttery Spread, With Flaxseed Oil"
267,2.63,47.37,8.77,5.26,1.42494,954,997.28,55.26,0,Lithuanian Rye Bread
274,2.94,44.12,2.94,11.76,0.6731,983,1064.62,58.82,0,Organic Flourless Sprouted 7-Grain Bread
275,0.3,45.7,0.6,21.9,6.096,1159,1160.9,67.9,0,Puppodums
279,28.57,3.57,0,25,1.54178,1494,1599.92,57.14,0,Monterey Jack
281,1.47,50,5.88,8.82,1.27,983,1057.27,60.29,0,"Bakers Best, White Bread"
282,2.56,53.85,2.56,7.69,0.81534,1071,1146.02,64.1,0,"Bakers Best, Rye Bread"
286,26.25,58.75,6.5,8.75,0.03048,2029,2171.25,93.75,0,"Piasten, Chocolate Assortment"
288,19,56,28,5.8,0.65,1768,1791.6,80.8,0,Cakes Raisins
290,0,32.14,25,0,1.63322,598,546.38,32.14,0,Sweet 'N' Hot Salad Peppers
291,0,43.75,34.38,0,3.01752,1046,743.75,43.75,0,"Big Papa's, Southern Sauce"
292,15,60,34,4.9,0.6,1670,1688.3,79.9,0,Cakes aux Fruits
296,28,60,49.6,8,0.4064,2209,2248,96,0,Knusperflakes Mit Knusprigen Cornflakes
297,28,56,43.6,8,0.13208,2142,2180,92,0,"Rum Trauben Nuss, Milk Chocolate Wih Rum Raisins & Nuts"
298,31.2,57.2,56,7.2,0.14224,2226,2311.6,95.6,0,Milk Chocolate With Caramelized Almonds
299,21.4,55.2,51.6,9.6,0.254,1929,1936.2,86.2,0,"Funsch, High Quality Marzipan"
300,21.43,67.86,28.57,7.14,0.54356,1552,2110.77,96.43,0,Oatmeal Raisin Cookies
301,21.43,67.86,28.57,7.14,0.54356,1703,2110.77,96.43,0,The Best Peanut Butter Cookies
302,17.65,50,17.65,2.94,0.37338,1623,1588.33,70.59,0,Best Sweet-Potato Cookies
303,17.65,50,17.65,2.94,0.37338,1623,1588.33,70.59,0,Best Ginger Snap Cookies
304,11.27,22.54,16.9,2.82,0.14224,883,870.65,36.63,0,"Ice Cream, Vanilla"
305,15.49,22.54,15.49,4.23,0.34036,1000,1059.2,42.26,0,"Ice Cream, Butter Pecan"
307,4.6,8.8,6,78.05,1.21158,1644,1655.85,91.45,0,Whey Protein aus Molke Vanilla
308,23,51,39,8,0.55,1868,1900,82,0,Financiers aux Amandes
309,4.6,8.8,6,78.05,1.21158,1644,1655.85,91.45,0,Whey Protein aus Molke 1000 Gramm Vanilla
310,24,50,37,8.1,0.78,1896,1923.7,82.1,0,Fondants Citron
312,4.6,8.8,6,78.05,1.21158,1644,1655.85,91.45,0,Whey Protein aus Molke 500 Gramm Vanilla
314,23,57,57,4.5,0.3048,1954,1942.5,84.5,0,"Williams, Liquor Chocolate With Williams Pear"
315,32.14,57.14,0,7.14,0.9525,2243,2346.22,96.42,0,Sea Salt Potato Chips
317,32.14,58.93,55.36,7.14,0.2032,2318,2376.65,98.21,0,Solid Milk Chocolate
318,32.5,57.5,55,7.5,0.1905,2301,2372.5,97.5,0,"Madelaine Chocolate Company, Chocolate"
319,33.33,57.14,57.14,9.52,0.18034,2389,2433.09,99.99,0,Milk Chocolate Rose
320,32.5,57.5,50,5,0.03048,2197,2330,95,0,Solid Dark Chocolate
321,40,50,50,7.5,0.254,2406,2537.5,97.5,0,White Chocolate
322,32.56,58.14,55.81,6.98,0.20574,2238,2376.88,97.68,0,"The Madelaine Chocolate Company, Solid Milk Chocolate Cigars"
323,32.56,58.14,55.81,6.98,0.20574,2238,2376.88,97.68,0,"Madelaine Chocolate, It's A Girl! Solid Milk Chocolate Cigars, Milk Chocolate"
324,39.47,44.74,28.95,10.53,0,2314,2478.92,94.74,0,"The Madelaine Chocolate Company, All Natural Dark Chocolate Gift Stick"
325,32.5,57.5,55,7.5,0.1905,2301,2372.5,97.5,0,"The Madelaine Chocolate Company, Solid Milk Chocolate"
326,32.5,57.5,47.5,5,0.03048,2197,2330,95,0,"The Madelaine Chocolate Company, Solid Dark Chocolate"
327,33.33,58.33,55.56,8.33,0.21082,2326,2433.09,99.99,0,Solid Milk Chocolate
328,33.33,58.33,55.56,8.33,0.21082,2326,2433.09,99.99,0,"The Madelaine Chocolate Company, Solid Milk Chocolate"
329,31.58,57.89,55.26,7.89,0.20066,2314,2349.88,97.36,0,"The Madelaine Chocolate Comapny, Solid Milk Chocolate"
330,31.58,57.89,50,5.26,0.03302,2201,2305.17,94.73,0,"The Madelaine Chocolate Company, Solid Dark Chocolate"
331,31.58,57.89,50,5.26,0.03302,2201,2305.17,94.73,0,Solid Dark Chocolate
332,27.5,67.5,60,5,0.3175,2197,2305,100,0,Milk Chocolate Malt Balls
333,33.33,58.33,55.56,8.33,0.21082,2326,2433.09,99.99,0,"The Madelaine Chocolate Company, Solid Milk Chocolate"
334,33.33,58.33,50,5.56,0.03556,2209,2386,97.22,0,"The Madelaine Chocolate Company, Solid Dark Chocolate"
335,31.43,57.14,54.29,5.71,0.18034,2272,2294.22,94.28,0,"The Madelaine Chocolate Company, Solid Milk Chocolate Bunnies"
336,31.58,57.89,55.26,7.89,0.20066,2314,2349.88,97.36,0,"The Madelaine Chocolate Company, Solid Milk Chocolate Chicks"
338,0,22.22,0,0,0,205,377.74,22.22,0,"Too Tarts, Smartchoice, Sugar Free Spray Candy, Blu Bewwy"
339,0,44.44,0,0,0,745,755.48,44.44,0,Sour & Fruity Candy
340,0,3.53,1.18,1.18,0.01524,75,80.07,4.71,0,Romaine Hearts
341,0,3.53,1.18,1.18,0.01524,75,80.07,4.71,0,Romaine
342,0,2.35,1.18,1.18,0.10414,75,60.01,3.53,0,Green Leaf Lettuce
343,0,3.53,0,2.35,0.19304,100,99.96,5.88,0,Fresh Spinach
344,0,3.53,0,2.35,0.19304,100,99.96,5.88,0,Cooking Spinach
345,0,9.52,2.38,3.57,0.06096,176,222.53,13.09,0,Quick Cook Sprout Halves
346,0,3.64,1.82,0,0.2667,59,61.88,3.64,0,Celery
347,0,7.06,1.18,4.71,0.20828,222,200.09,11.77,0,Season & Steam Kalettes (Kale Sprouts)
349,30.56,61.11,55.56,5.56,0.24638,2209,2325.23,97.23,0,"Feletti, Pralines Candy, Milk Chocolate"
350,32.43,59.46,56.76,2.7,0.20574,2264,2321.49,94.59,0,"Feletti, Milk Chocolate Pralines"
351,27.5,60,37.5,5,0.41148,2125,2177.5,92.5,0,"Taami Elite, Milk Choolate Bar, Puffed Rice And Nougat-Caramel Cream"
352,0,11.67,10.42,0,0.0381,192,198.39,11.67,0,"Ryan's, Juice Melange, Fuji Pom Blend"
353,0,13.33,13.33,0,0.01016,226,226.61,13.33,0,"Ryan's, Lemonade"
354,0,11.25,10,0,0.0254,192,191.25,11.25,0,"Ryan's, Spiced Apple Cider"
355,0,11.67,8.33,0.42,0.01524,192,205.53,12.09,0,"Ryan's, Pink Lady, Apple Cider"
356,0,11.67,10.42,0,0.04318,192,198.39,11.67,0,"Ryan's, Organic Juice, Apple"
357,0,11.67,8.33,0.42,0.01524,192,205.53,12.09,0,"Ryan's, Opal Blend Melange, Apple Cider"
359,0,78.57,64.29,0,0.09144,1343,1335.69,78.57,0,"Fruit Strip Snacks, Mango, Pineapple"
360,0,78.57,64.29,0,0.09144,1343,1335.69,78.57,0,Fruit Twist Snacks Blueberry Pomec-Ranate
361,0,65,42.5,5,0.0635,1046,1190,70,0,"Healthy Food Brands, A&W, Soda Bottles Gummy Candies With Real A&W Root Beer"
362,0,67.5,40,5,0.03048,1151,1232.5,72.5,0,"Emojeez, Gummies, Assorted Fruits"
363,0,67.5,40,5,0.03048,1151,1232.5,72.5,0,"Emojeez, Gummies Candy, Fruit"
364,0,67.5,40,5,0.03048,1151,1232.5,72.5,0,"Emojeez, Fruit Flavored Gummies, Green Apple, Orange, Fruit Punch, Lemon, Cherry Blue Raspberry"
365,0,67.5,40,5,0.03048,1151,1232.5,72.5,0,Gummies
366,0,67.5,40,5,0.03048,1151,1232.5,72.5,0,"Emojeez, Fruit Gummies, Assorted"
367,0,67.5,40,5,0.03048,1151,1232.5,72.5,0,"Emojeez, Gummies Candy, Fruit"
368,32,60,0,4,0,1674,2336,96,0,"Lite, Fine Chocolate Candy Bar, Dark Chocolate"
369,0,75,57.5,5,0.127,1360,1360,80,0,Sour Fruit Gummies
370,0,34,24,0,0.0762,586,578,34,0,Jelly Fish
372,17.5,77.5,75,2.5,0,1883,2042.5,97.5,0,"Hfb Candy, Candy Crush Color Bombs"
373,0,85,60,0,0.1905,1464,1445,85,0,"Hfb Candy, Jelly Fish Candy"
374,0,71.43,42.86,7.14,0,1197,1335.69,78.57,0,"Angry Birds, Fruit Snack, Cherry, Lemon, Raspberry, Apple, Grape, Strawberry"
375,0,92.86,75,3.57,0,1494,1639.31,96.43,0,Freeze-Dried Apple Slices
376,0,85.71,64.29,3.57,0,1343,1517.76,89.28,0,Freeze-Dried Banana & Strawberry Slices
377,1.79,89.29,78.57,3.57,0,1494,1648.43,94.65,0,Freeze-Dried Mango Slices
378,0,94.12,82.35,0,0.14986,1477,1600.04,94.12,0,Freeze-Dried Grapes
379,0,90,70,0,0,1464,1530,90,0,Freeze-Dried Apple Slices
380,0,90,60,0,0,1464,1530,90,0,"Freeze-Dried Fruit Slices, Banana & Strawberry"
381,0,90,80,0,0,1464,1530,90,0,Freeze-Dried Mango Slices
382,0,91.67,83.33,0,0.10668,1569,1558.39,91.67,0,Freeze-Dried Grapes
383,0,82.5,75,0,0,1360,1402.5,82.5,0,"Wholesome & Delicious Dried Cranberries, Concord Grape"
384,0,82.5,75,0,0,1360,1402.5,82.5,0,"Dried Cranberries, Pomegranate Flavor"
385,0,82.5,75,0,0,1360,1402.5,82.5,0,"Dried Cranberries, Blueberry"
386,0,82.5,75,0,0,1360,1402.5,82.5,0,Dried Cranberries
387,0,55,32.5,2.5,0,941,977.5,57.5,0,Dried Mediterranean Apricots
388,0,72.5,75,0,0,1255,1232.5,72.5,0,Dried Honey Crisp Apples
389,0,85,65,0,0.4445,1464,1445,85,0,Wholesome & Delicious Dried Mangos
390,0,82.61,73.91,0,0,1456,1404.37,82.61,0,"Triple Fruit Treat, Mango, Cranberries, Blueberries"
391,0,90.48,76.19,0,0.36322,1594,1538.16,90.48,0,Red Apple Chips
392,25.88,51.76,44.71,9.41,0.47752,1971,2049.21,87.05,0,"Pb&J Trail Mix, Grape"
393,25.88,51.76,40,9.41,0.47752,1971,2049.21,87.05,0,"Pb & J Trail Mix, Strawberry"
394,25.88,51.76,44.71,9.41,0.47752,1971,2049.21,87.05,0,"Pb&J Trail Mix, Grape"
395,0,92.86,78.57,0,1.63322,1644,1578.62,92.86,0,Red Apple Chips
396,0,92.86,78.57,0,1.63322,1644,1578.62,92.86,0,Golden Apple Chips
397,0,92.86,78.57,0,1.63322,1644,1578.62,92.86,0,Green Apple Chips
398,0,70,37.5,7.5,0.09652,1255,1317.5,77.5,0,Fruit Gummies
399,0,70,37.5,7.5,0.09652,1255,1317.5,77.5,0,Fruit Gummies Candy
400,0,70,37.5,7.5,0.09652,1255,1317.5,77.5,0,"Star Wars, Fruit Gummies"
401,0,70,37.5,7.5,0.09652,1255,1317.5,77.5,0,Gummies
402,0,70,37.5,7.5,0.09652,1255,1317.5,77.5,0,Fruit Gummies
403,0,70,37.5,7.5,0.09652,1255,1317.5,77.5,0,Fruit Gummies
404,0,80,45,5,0.4445,1360,1445,85,0,"Fruit Snacks, Cherry, Lemon, Raspberry, Apple, Grape, Strawberry"
406,0,100,60,5,0.254,1255,1785,105,1,"Fruit Ninja, Fruit Snacks, Original"
407,0,70,42.5,2.5,0.03048,1151,1232.5,72.5,0,Fruit Snacks Red Belt
408,0,100,100,0,0,1393,1700,100,0,Tnt Exploding Candy
409,0,100,100,0,0,1393,1700,100,0,Exploding Candy
410,0,100,100,0,0,1393,1700,100,0,Exploding Candy
411,0,80.95,76.19,0,0,1197,1376.15,80.95,0,"Bee, Creamed Honey With Raspberry, Raspberry"
412,0,80.95,76.19,0,0,1197,1376.15,80.95,0,Creamed Honey
413,0,80.95,76.19,0,0,1197,1376.15,80.95,0,"Bee, Creamed Honey With Cinnamon, Cinnamon"
414,0,80.95,76.19,0,0,1197,1376.15,80.95,0,"Bee, Creamed Honey With Lemon"
415,0,80.95,76.19,0,0,1197,1376.15,80.95,0,Creamed Honey With Hibiscus
416,0,90,80,0,0,1255,1530,90,0,Minis Creamed Honey With Cinnamon
417,0,90,80,0,0,1255,1530,90,0,Creamed Honey With Lemon
418,0,90,80,0,0,1255,1530,90,0,Creamed Honey With Raspberry
419,0,90,80,0,0,1255,1530,90,0,"Minis, Creamed Honey With Hibiscus"
420,0,90,80,0,0,1255,1530,90,0,Minis Candy
422,0,0,0,14.12,1.40462,247,240.04,14.12,0,Raw Shrimp
425,10.71,78.57,0,7.14,1.63322,1795,1874.76,96.42,0,Yellow Corn Tortilla Chips
426,39.29,35.71,17.86,17.86,0.40894,2243,2443,92.86,0,Blueberry Pomegranate Crunch
427,0,4,3,0.4,0.02794,71,74.8,4.4,0,"Guiltless Gourmet, Organic Unsweetened Coconut Water"
428,0,60,30,2.5,0.03048,1046,1062.5,62.5,0,Pitted Prunes
429,0,0,0,66.67,0,1393,1133.39,66.67,0,"Augason Farms, Vital Wheat Gluten"
431,26.92,65.38,44.23,7.69,0.635,2171,2292.07,99.99,0,Hazelnut Spread + Breadsticks
432,32.43,62.16,56.76,5.41,0.10414,2264,2413.46,100,0,Hazelnut Spread With Cocoa
437,18,57,31,5,0.63,1724,1756,80,0,30 Panach' Fruits
438,0,4.62,3.08,0.77,0.56642,79,91.63,5.39,0,Diced In Tomato Juice
439,29.03,54.84,25.81,9.68,0.32766,2159,2229.01,93.55,0,Bambu Extra Cream Wafer Filled With Hazelnut Cream
447,0,55,50,0,0,1046,935,55,0,Strawberry Preserves
448,0.89,71.43,1.79,14.29,0,1494,1491.95,86.61,0,Lumaconi Giant Pasta Shells Italian Macaroni Product
449,6.78,9.32,4.24,1.69,1.50622,427,451.59,17.79,0,Vindaloo Sauce
450,3.8,2.53,0,8.86,0,372,341.83,15.19,0,Tofu Firm
451,0,46.67,43.33,0,1.524,975,793.39,46.67,0,Sweet Cooking Rice Seasoning
461,0.5,96,96,0.9,0,1665,1666.8,97.4,0,Curiously Strong Mints
462,26,60.1,37.4,5.4,0.9,2096,2127.5,91.5,0,All Butter Cookies Belgian Chocolate Chunk
463,17.9,64.3,34.7,5.5,0.85,1866,1884.7,87.7,0,All Butter Sultana Cookies
464,29.1,58.4,33.5,5.5,1,2172,2221.2,93,0,All Butter Belgian White Chocolate Chunk Cookies
465,20.5,59.3,36.5,5.1,0.78,1887,1894.3,84.9,0,All Butter Fruity Flapjack Cookies
466,32.1,46.9,20.7,10.7,0.65,2209,2231.1,89.7,0,Cookies aux Pistaches & Amandes
467,15.2,67.5,41.2,4.4,0.75,1806,1815.1,87.1,0,All butter Cranberry & Orange Cookies
469,20.8,63.6,31.8,6.1,0.58,1979,1996.1,90.5,0,Cookies Stem Ginger
470,13.3,70.2,35.7,6.1,0.83,1809,1815.8,89.6,0,Stem Ginger Cookies
471,25.3,61.1,33.4,6,0.63,2100,2127.4,92.4,0,Chocolate chip & hazelnut cookies
472,20.8,63.6,31.8,6.1,0.57,1981,1996.1,90.5,0,Stem Ginger Dunkers
481,1.25,75,2.5,15,0,1464,1578.75,91.25,0,Wild Rice
485,50,21.88,3.12,21.88,0,2485,2693.92,93.76,0,Peanut Butter
486,50,21.88,3.12,21.88,1.11252,2485,2693.92,93.76,0,Peanut Butter
487,50,21.88,3.12,21.88,0,2485,2693.92,93.76,0,Peanut Butter
491,0,80.95,76.19,0,0,1197,1376.15,80.95,0,"Creamed Honey, Multi-Floral & Clover Blossoms"
492,0,81,76.2,0,0,1200,1377,81,0,mostly mesquite honey
493,0,6.67,3.33,0,2.20218,138,113.39,6.67,0,Salsa Autentica
494,0,10.66,8.2,0,0.01016,172,181.22,10.66,0,"First Crush, Unsweetened Gravenstein Apple Sauce"
495,1.2,7.2,5.6,1.6,0.4064,201,196.4,10,0,Whole Kernel Corn
496,1.64,9.02,0.82,4.1,1.24968,276,287,14.76,0,Clam Chowder A Condensed Soup
497,12.5,41.67,25,33.33,1.905,1569,1762.5,87.5,0,"Just Great Stuff, The Original Powdered Organic Peanut Butter"
499,1.6,5.6,3.2,2.4,0.75184,201,198.4,9.6,0,Marinara Sauce
501,0,0,0,0,0,0,0,0,0,"Kevin Durant Kd 35 Limited Edition, Naturally Flavored Sparkling Water"
507,0.2,77.5,55.5,4.7,0.0508,1406,1405.2,82.4,0,Happy Cola Candy
508,35.71,50,45.24,7.14,0.21082,2293,2364.07,92.85,0,Finest Milk Chocolate
510,0.6,33.1,1.5,5.9,1.23,385,686.4,39.6,0,6 Ultimate Crumpets
511,1.4,3.6,2.7,0.3,0.63,126,120.9,5.3,0,Carrot & Coriander soup
513,23,50,25,7.8,0.99,1891,1879.6,80.8,0,Kids fruity abricot
514,20,0,0,16,2.35,1021,1052,36,0,Véritable Andouille de Guémené
517,25.4,60.8,28,7.8,0.88,2146,2156.8,94,0,Sables cerealiers
523,0,20,13.33,0,5.588,418,340,20,0,"Marinade, Cajun"
524,0,26.67,13.33,0,7.44982,418,453.39,26.67,0,Baja Chipotle With Lime Juice
526,0,50,25,0,19.685,1046,850,50,0,Fajitas Seasoning Mix
528,0,86.67,86.67,0,0,1464,1473.39,86.67,0,Maple Syrup
529,20,57,37,5.3,0.7,1807,1839.1,82.3,0,Bijou Caramel ChocoLait
