,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,energy_100g,reconstructed_energy,g_sum,exceeded,product
20436,9.82,16.96,0,14.29,2.13106,895,914.23,41.07,0,Chicken Breast Tenderloin Fritters
20437,8.33,22.62,8.33,13.1,1.5113,946,932.11,44.05,0,Boneless Chicken Wyngz
20439,14.29,9.52,7.14,15.48,1.17856,946,982.31,39.29,0,Honey Bbq Seasoned Wings
20440,0,3.33,3.33,0,0.71882,71,56.61,3.33,0,"Dunbar, Roasted Peppers"
20441,0,3.33,3.33,0,0.71882,71,56.61,3.33,0,Roasted Peppers
20442,0,3.33,3.33,0,0.71882,71,56.61,3.33,0,Deli Sliced Peppers
20443,0,21.25,11.88,0,0.03048,368,361.25,21.25,0,"Dunbar's, Cut Yams, Sweet Potatoes Packed In Syrup"
20445,0,70,3.33,10,6.01218,1393,1360,80,0,"Drake's, Crisy Fry Mix"
20446,0,70,3.33,10,6.01218,1393,1360,80,0,"Drake's, Crispy Frymix"
20447,6.67,4,0.33,1.67,2.0066,377,356.52,12.34,0,Long Stem Roman Artichokes
20448,28.57,67.86,50,7.14,0.3175,2243,2389.23,103.57,1,"Tea Cookies, Lemon, Traditional Tea Cookies Dusted With Natural Lemon Sugar"
20449,25,71.43,39.29,3.57,0.86106,2243,2250,100,0,Tea Cookies
20450,25,71.43,39.29,3.57,0.86106,2243,2250,100,0,Tea Cookies
20451,21.43,58.93,23.21,7.14,0.45466,1866,1958.96,87.5,0,"Leila Bay Trading Co., Apple Cinnamon Granola, Apple, Cinnamon"
20452,21.43,58.93,23.21,7.14,0.45466,1866,1958.96,87.5,0,"Leila Bay Trading Co., Banana Nut Granola"
20453,21.43,58.93,23.21,7.14,0.45466,1866,1958.96,87.5,0,"Leila Bay Trading Co., Cranberry Almond Granola"
20454,23.21,57.14,19.64,8.93,0.5207,1941,2028.38,89.28,0,"Leila Bay Trading Co., Chocolate Huckleberry Quinoa Granola"
20456,0,100,100,0,0,1569,1700,100,0,"Cane Sugar, Raspberry"
20457,0,100,100,0,0,1569,1700,100,0,Lemon
20458,0,100,100,0,0,1569,1700,100,0,"All Natural Flavored Cane Sugar, Almond Vanilla"
20459,0,100,100,0,0,1569,1700,100,0,"All Natural Flavored Cane Sugar, Huckleberry"
20460,20.89,83.55,60.05,2.61,0.92964,2184,2279.43,107.05,1,"The Famous Pacific Dessert Company, Dark Chocolate, Salted Caramels"
20461,36.55,62.66,44.39,5.22,0.26416,2402,2579.41,104.43,1,"Dessert Company, Milk Chocolate Pecan Caramels"
20462,39.16,60.05,57.44,5.22,0.39878,2515,2636.83,104.43,1,"The Famous Pacific Dessert Company, Dark Chocolate Meltaways, Raspberry"
20463,20.89,80.94,57.44,2.61,0.99568,2184,2235.06,104.44,1,Milk Chocolate Salted Caramel
20464,31.33,49.61,52.22,2.61,0.33274,2075,2109.61,83.55,0,Dark Chocolate Lemon Meltaways
20465,16.07,67.86,37.5,5.36,0.77216,1720,1871.47,89.29,0,Granola
20466,8.93,0,0,21.43,2.58572,674,712.58,30.36,0,Boneless Fillet
20467,28,0,0,0,1.15824,1188,1092,28,0,Salmon Spread
20468,8.93,0,0,53.57,6.53034,1343,1258.96,62.5,0,"King Salmon Jerky, Original"
20469,5.36,3.57,3.57,46.43,6.985,1343,1059.04,55.36,0,Pepper Garlic Salmon Jerky
20470,8.93,0,0,21.43,2.58572,674,712.58,30.36,0,Smoked Salmon
20471,14.29,1.79,1.79,23.21,1.81356,1197,982.31,39.29,0,Sockeye Smoked Salmon
20472,32.14,53.57,0,10.71,1.99644,2243,2346.22,96.42,0,Teenage Mutant Ninja Turtles Premium Popcorn
20473,32.14,53.57,0,10.71,1.99644,2243,2346.22,96.42,0,Salted Popcorn
20474,35.71,50,7.14,7.14,1.99644,2243,2364.07,92.85,0,Extra Cheesy Popcorn
20478,4.55,72.73,0,12.12,0,1523,1619.9,89.4,0,Pops Up Big & Fluffy Popping Corn
20479,4.55,72.73,0,12.12,0,1523,1619.9,89.4,0,Kernel Packs Popcorn
20480,4.55,69.7,0,9.09,0,1523,1516.88,83.34,0,Light & Crunchy White Corn Premium Popcorn
20482,4.55,72.73,0,12.12,0,1523,1619.9,89.4,0,Premium Jumbo Popcorn
20483,4.55,69.7,0,9.09,0,1523,1516.88,83.34,0,Big & Fluffy Popping Corn
20525,0,72.73,54.55,18.18,0.23114,2435,1545.47,90.91,0,"Fortune Cookies, Honey"
20526,0,87.72,38.6,7.02,0.02794,1720,1610.58,94.74,0,"Luvyu, Honey Fortune Cookies"
20527,22.5,75,15,5,0.0127,1464,2237.5,102.5,1,Orange Almond Cookies
20528,22.5,70,20,5,0.0127,1464,2152.5,97.5,0,Bite Size Amaretti Macaroons Crunchy Italian Biscuits
20529,0,83.33,35.71,11.9,0,1594,1618.91,95.23,0,"Luv Yu, Honey Fortune Cookies"
20530,18.75,62.5,18.75,6.25,0.01524,1858,1900,87.5,0,Almond Cookies
20531,22.5,75,20,5,0.0127,2092,2237.5,102.5,1,Wedding Cakes
20532,15.15,63.64,18.18,3.03,0.01524,1686,1724.24,81.82,0,"Luv Yu, Crunchy Amaretti Macaroons Italian Biscuits"
20533,0,22.88,18.64,0,0.02032,389,388.96,22.88,0,Fruit Bar Ice Cream
20534,9.7,35.6,2.1,13.2,0.75,1263,1207.9,58.5,0,Multi Seed Bloomer Slides
20536,0,7.04,2.82,2.82,0.03556,205,167.62,9.86,0,First Peas
20537,0,7.04,5.63,0,0.16002,146,119.68,7.04,0,Organic First Carrots
20538,0,18.31,4.23,1.41,0.12446,356,335.24,19.72,0,Sweet Potatoes
20539,0,11.27,8.45,0,0.05334,205,191.59,11.27,0,Organic First Apples
20540,0,12.68,9.86,0,0.01778,234,215.56,12.68,0,Organic First Pears
20541,0,19.72,16.9,0,0.07112,356,335.24,19.72,0,Organic First Bananas
20542,0,12.39,9.73,0,0,222,210.63,12.39,0,Apples
20543,0,12.39,9.73,0,0,222,210.63,12.39,0,Organic Apples & Apricots
20544,0,13.27,11.5,0,0,222,225.59,13.27,0,Organic Apples & Plums
20545,0,12.39,10.62,0.88,0.02286,222,225.59,13.27,0,Organic Pears
